State,Low,Medium,High,Total_Patients,Low_Pct,Medium_Pct,High_Pct,State_Risk_Score,State_Risk_Category
Mississippi,41,13,8,62,66.13,20.97,12.9,1.47,High
Arkansas,56,21,11,88,63.64,23.86,12.5,1.49,High
Tennessee,41,18,8,67,61.19,26.87,11.94,1.51,High
Utah,46,9,7,62,74.19,14.52,11.29,1.37,High
Virginia,41,11,6,58,70.69,18.97,10.34,1.4,High
Nebraska,48,18,7,73,65.75,24.66,9.59,1.44,Medium
North Carolina,44,16,6,66,66.67,24.24,9.09,1.42,Medium
Iowa,51,11,6,68,75.0,16.18,8.82,1.34,Low
Alaska,44,11,5,60,73.33,18.33,8.33,1.35,Medium
Wyoming,51,10,5,66,77.27,15.15,7.58,1.3,Low
Missouri,46,19,5,70,65.71,27.14,7.14,1.41,Medium
California,50,16,5,71,70.42,22.54,7.04,1.37,Medium
Idaho,54,14,5,73,73.97,19.18,6.85,1.33,Low
Maryland,44,14,4,62,70.97,22.58,6.45,1.35,Medium
West Virginia,52,8,4,64,81.25,12.5,6.25,1.25,Low
Illinois,50,11,4,65,76.92,16.92,6.15,1.29,Low
Georgia,41,10,3,54,75.93,18.52,5.56,1.3,Low
Wisconsin,47,4,3,54,87.04,7.41,5.56,1.19,Low
Ohio,43,12,3,58,74.14,20.69,5.17,1.31,Low
New York,49,6,3,58,84.48,10.34,5.17,1.21,Low
Oregon,44,16,3,63,69.84,25.4,4.76,1.35,Medium
Maine,38,8,2,48,79.17,16.67,4.17,1.25,Low
Delaware,39,10,2,51,76.47,19.61,3.92,1.27,Low
Nevada,47,4,2,53,88.68,7.55,3.77,1.15,Low
Washington,41,11,2,54,75.93,20.37,3.7,1.28,Low
South Carolina,45,7,2,54,83.33,12.96,3.7,1.2,Low
Indiana,47,10,2,59,79.66,16.95,3.39,1.24,Low
Oklahoma,46,13,2,61,75.41,21.31,3.28,1.28,Low
Colorado,46,14,2,62,74.19,22.58,3.23,1.29,Low
Minnesota,51,11,2,64,79.69,17.19,3.12,1.23,Low
Arizona,53,15,2,70,75.71,21.43,2.86,1.27,Low
Michigan,29,5,1,35,82.86,14.29,2.86,1.2,Low
Hawaii,31,4,1,36,86.11,11.11,2.78,1.17,Low
New Hampshire,29,7,1,37,78.38,18.92,2.7,1.24,Low
Vermont,37,7,1,45,82.22,15.56,2.22,1.2,Low
Pennsylvania,35,10,1,46,76.09,21.74,2.17,1.26,Low
Kentucky,49,10,1,60,81.67,16.67,1.67,1.2,Low
Louisiana,42,21,1,64,65.62,32.81,1.56,1.36,Medium
Florida,36,10,0,46,78.26,21.74,0.0,1.22,Low
South Dakota,45,12,0,57,78.95,21.05,0.0,1.21,Low
New Jersey,29,7,0,36,80.56,19.44,0.0,1.19,Low
Texas,51,12,0,63,80.95,19.05,0.0,1.19,Low
Connecticut,29,6,0,35,82.86,17.14,0.0,1.17,Low
Kansas,53,11,0,64,82.81,17.19,0.0,1.17,Low
Montana,48,9,0,57,84.21,15.79,0.0,1.16,Low
New Mexico,48,8,0,56,85.71,14.29,0.0,1.14,Low
Rhode Island,36,4,0,40,90.0,10.0,0.0,1.1,Low
Alabama,20,2,0,22,90.91,9.09,0.0,1.09,Low
Massachusetts,48,4,0,52,92.31,7.69,0.0,1.08,Low
North Dakota,56,5,0,61,91.8,8.2,0.0,1.08,Low
