iter	Logloss
0	0.6800509922
1	0.6714613414
2	0.6576595155
3	0.639171252
4	0.6285287121
5	0.619355514
6	0.6087088982
7	0.6003882362
8	0.5962094497
9	0.5875886597
10	0.5788814863
11	0.5725169855
12	0.568783819
13	0.5620494877
14	0.5564340842
15	0.5490366354
16	0.5416643604
17	0.5360236952
18	0.5314314738
19	0.5238282834
20	0.5151445406
21	0.5095733392
22	0.5021456423
23	0.4998805354
24	0.49396286
25	0.491036927
26	0.4860910586
27	0.4806670196
28	0.4780951769
29	0.4754984213
30	0.472883852
31	0.4668866915
32	0.464654553
33	0.460366285
34	0.4572457651
35	0.4557721629
36	0.4523638699
37	0.4496788695
38	0.4483283588
39	0.4482678228
40	0.4462657565
41	0.4428781035
42	0.4407072442
43	0.4396672384
44	0.4384230651
45	0.4362940933
46	0.432627943
47	0.4299653394
48	0.4278237915
49	0.4264938843
50	0.424315328
51	0.421574261
52	0.4196173399
53	0.4153134383
54	0.4141444962
55	0.4128711571
56	0.4116762961
57	0.4101376694
58	0.4083014666
59	0.4069021101
60	0.4054676739
61	0.4043957582
62	0.4025720478
63	0.4001737627
64	0.3989690008
65	0.3975979775
66	0.3961437898
67	0.3959146513
68	0.3938806488
69	0.3925404689
70	0.3910071069
71	0.3892281133
72	0.3868662517
73	0.385411085
74	0.3831878654
75	0.3819053279
76	0.3804648825
77	0.3784860563
78	0.3775572525
79	0.3764914968
80	0.3753945276
81	0.3747546203
82	0.3720136048
83	0.3695949424
84	0.3683608497
85	0.3666972545
86	0.3645160379
87	0.3641146247
88	0.3621484028
89	0.3616312846
90	0.361096301
91	0.360039172
92	0.3590814197
93	0.357266489
94	0.3566288303
95	0.3559440058
96	0.3538479869
97	0.3532321778
98	0.3521441384
99	0.3517851178
100	0.350795181
101	0.3494539582
102	0.347568808
103	0.3451987097
104	0.3438055726
105	0.3424520167
106	0.3412180921
107	0.3401806753
108	0.3392000181
109	0.3386827869
110	0.337413113
111	0.3359093658
112	0.3353144463
113	0.3342372523
114	0.3327034584
115	0.3317178132
116	0.330302938
117	0.3289839232
118	0.3285202671
119	0.3261984955
120	0.3251988666
121	0.3247353554
122	0.3236646964
123	0.3227114887
124	0.3208913213
125	0.3203916504
126	0.3190395357
127	0.3182752543
128	0.3177087503
129	0.3167987377
130	0.3149536356
131	0.3145488794
132	0.3140585784
133	0.312669961
134	0.3123537604
135	0.3115858818
136	0.3107735939
137	0.3098057784
138	0.3083411378
139	0.3072258246
140	0.3058305343
141	0.3053392053
142	0.3051043588
143	0.3039918223
144	0.3033387635
145	0.3026349422
146	0.3018287007
147	0.3013395403
148	0.3002838838
149	0.2994196695
150	0.298623358
151	0.2985405465
152	0.2975947817
153	0.2974160314
154	0.2966112289
155	0.2957420114
156	0.2940896571
157	0.2933960343
158	0.2929699484
159	0.2918620907
160	0.2912685021
161	0.2907554651
162	0.2901726947
163	0.2889239574
164	0.2884387866
165	0.2882122583
166	0.2870992298
167	0.2860541999
168	0.2855630452
169	0.2838762126
170	0.2824320859
171	0.2809515696
172	0.2803444414
173	0.2798619718
174	0.2796578964
175	0.2781922173
176	0.2767387174
177	0.2756687427
178	0.2739636519
179	0.2734195893
180	0.2723305622
181	0.2723100639
182	0.2709435268
183	0.2699713719
184	0.2691305243
185	0.2678452216
186	0.2668469677
187	0.2659847444
188	0.2653057072
189	0.2646856999
190	0.2636171514
191	0.2631036399
192	0.2625113882
193	0.2612030364
194	0.2606861716
195	0.2602999393
196	0.2598279091
197	0.2590908196
198	0.2587130834
199	0.2580304362
