iter	Passed	Remaining
0	22	4396
1	52	5167
2	75	4952
3	101	4993
4	126	4919
5	150	4850
6	179	4952
7	204	4898
8	223	4737
9	246	4678
10	272	4679
11	300	4706
12	338	4873
13	364	4837
14	388	4791
15	412	4740
16	438	4719
17	463	4690
18	492	4694
19	519	4675
20	544	4639
21	570	4616
22	598	4605
23	613	4497
24	643	4507
25	669	4481
26	695	4457
27	720	4426
28	746	4401
29	772	4375
30	798	4351
31	823	4325
32	849	4300
33	879	4294
34	909	4289
35	941	4287
36	980	4320
37	1012	4315
38	1050	4337
39	1060	4243
40	1083	4201
41	1111	4180
42	1142	4171
43	1178	4179
44	1201	4139
45	1230	4120
46	1261	4107
47	1287	4077
48	1313	4047
49	1336	4010
50	1367	3993
51	1404	3997
52	1436	3984
53	1469	3974
54	1495	3941
55	1528	3930
56	1561	3917
57	1597	3912
58	1639	3917
59	1675	3909
60	1711	3900
61	1744	3883
62	1773	3856
63	1808	3843
64	1839	3819
65	1863	3783
66	1888	3748
67	1909	3706
68	1936	3677
69	1967	3653
70	1998	3631
71	2031	3611
72	2058	3582
73	2090	3559
74	2124	3541
75	2159	3523
76	2193	3504
77	2229	3487
78	2261	3463
79	2293	3440
80	2328	3421
81	2344	3374
82	2377	3351
83	2411	3329
84	2441	3303
85	2476	3282
86	2506	3255
87	2521	3209
88	2550	3180
89	2575	3147
90	2603	3118
91	2636	3094
92	2668	3070
93	2704	3050
94	2739	3027
95	2773	3004
96	2810	2984
97	2846	2963
98	2884	2942
99	2904	2904
100	2940	2882
101	2978	2861
102	3016	2841
103	3058	2823
104	3094	2799
105	3136	2781
106	3179	2763
107	3209	2734
108	3245	2709
109	3269	2675
110	3299	2645
111	3331	2617
112	3364	2589
113	3401	2565
114	3433	2538
115	3467	2510
116	3498	2481
117	3522	2448
118	3550	2416
119	3575	2383
120	3598	2349
121	3615	2311
122	3640	2279
123	3666	2247
124	3692	2215
125	3717	2183
126	3742	2151
127	3766	2118
128	3789	2085
129	3814	2053
130	3837	2021
131	3861	1989
132	3883	1956
133	3907	1924
134	3924	1889
135	3947	1857
136	3969	1825
137	3995	1795
138	4018	1763
139	4043	1732
140	4065	1701
141	4088	1669
142	4122	1643
143	4148	1613
144	4170	1581
145	4194	1551
146	4217	1520
147	4242	1490
148	4264	1459
149	4287	1429
150	4310	1398
151	4326	1366
152	4350	1336
153	4372	1306
154	4396	1276
155	4420	1246
156	4443	1217
157	4468	1187
158	4491	1158
159	4514	1128
160	4532	1097
161	4554	1068
162	4577	1039
163	4601	1010
164	4626	981
165	4648	952
166	4673	923
167	4697	894
168	4721	866
169	4747	837
170	4769	808
171	4792	780
172	4816	751
173	4838	723
174	4861	694
175	4888	666
176	4913	638
177	4935	609
178	4957	581
179	4988	554
180	5012	526
181	5041	498
182	5066	470
183	5091	442
184	5119	415
185	5144	387
186	5170	359
187	5197	331
188	5225	304
189	5255	276
190	5283	248
191	5310	221
192	5336	193
193	5368	166
194	5395	138
195	5424	110
196	5449	82
197	5473	55
198	5499	27
199	5529	0
